LGA_CODE_2011,LGA_NAME_2011,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE
54060,Irwin (S),54060,Irwin (S),1,100
54130,Jerramungup (S),54130,Jerramungup (S),1,100
54170,Joondalup (C),54170,Joondalup (C),1,100
54200,Kalamunda (S),54200,Kalamunda (S),1,100
54280,Kalgoorlie/Boulder (C),54280,Kalgoorlie/Boulder (C),1,100
54340,Katanning (S),51080,Broomehill-Tambellup (S),0.0003735,0.0373537
54340,Katanning (S),54340,Katanning (S),0.9996265,99.9626463
54410,Kellerberrin (S),54410,Kellerberrin (S),1,100
54480,Kent (S),54480,Kent (S),1,100
54550,Kojonup (S),54550,Kojonup (S),1,100
54620,Kondinin (S),54620,Kondinin (S),1,100
54690,Koorda (S),54690,Koorda (S),1,100
54760,Kulin (S),54760,Kulin (S),1,100
